short_name,long_name,age,nationality_name,club_name,player_positions,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,height_cm,weight_kg,preferred_foot
B. Saka,Bukayo Saka,23,England,Arsenal,"RW, RM",88,90,118500000,230000,84.0,82.0,85.0,88.0,60.0,73.0,178,65,Left
S. Milinković-Savić,Sergej Milinković-SavićСергеј Милинковић-Савић,30,Serbia,Al Hilal,"CM, CDM, CAM",84,84,40500000,70000,62.0,80.0,81.0,81.0,78.0,88.0,192,95,Right
Pedri,Pedro González López,22,Spain,FC Barcelona,"CM, CDM, CAM",89,93,149500000,170000,77.0,73.0,85.0,91.0,78.0,77.0,174,60,Right
Bruno Guimarães,Bruno Guimarães Rodrigues Moura,27,Brazil,Newcastle United,"CM, CDM",86,87,77500000,190000,66.0,75.0,84.0,84.0,79.0,81.0,182,74,Right
O. Dembélé,Masour Ousmane Dembélé,28,France,Paris Saint-Germain,"ST, RW, CAM",90,90,122500000,220000,91.0,88.0,83.0,93.0,50.0,69.0,178,67,Left
João Neves,João Pedro Gonçalves Neves,20,Portugal,Paris Saint-Germain,"CM, CDM",85,90,79500000,90000,74.0,71.0,80.0,84.0,82.0,83.0,174,66,Right
R. Gravenberch,Ryan Jiro Gravenberch,23,Netherlands,Liverpool,"CDM, CM",85,88,66500000,125000,76.0,76.0,81.0,85.0,81.0,81.0,190,77,Right
L. Martínez,Lautaro Javier Martínez,27,Argentina,Inter,ST,88,88,99000000,79000,81.0,88.0,75.0,84.0,51.0,83.0,174,72,Right
H. Mkhitaryan,Henrikh Mkhitaryan,36,Armenia,Inter,CM,83,83,11500000,37000,77.0,78.0,82.0,83.0,72.0,75.0,177,75,Right
K. De Bruyne,Kevin De Bruyne,34,Belgium,Napoli,"CM, CAM",87,87,36500000,175000,66.0,83.0,92.0,84.0,65.0,72.0,181,75,Right
T. Koopmeiners,Teun Koopmeiners,27,Netherlands,Juventus,"CAM, CM",81,81,27500000,120000,70.0,79.0,83.0,78.0,75.0,75.0,183,77,Left
K. Kvaratskhelia,Khvicha Kvaratskheliaხვიჩა კვარაცხელია,24,Georgia,Paris Saint-Germain,"LW, RW, LM",87,90,109000000,140000,86.0,80.0,83.0,88.0,58.0,78.0,183,70,Right
Grimaldo,Alejandro Grimaldo García,29,Spain,Bayer 04 Leverkusen,"LM, LB, LW",84,84,41500000,110000,72.0,73.0,87.0,85.0,74.0,67.0,171,68,Left
R. James,Reece James,25,England,Chelsea,RB,81,84,31500000,115000,76.0,71.0,82.0,77.0,81.0,81.0,180,91,Right
F. Kostić,Filip KostićФилип Костић,32,Serbia,Juventus,"LM, LB, LW",81,81,20500000,125000,82.0,76.0,81.0,80.0,70.0,77.0,184,84,Left
C. Gallagher,Conor Gallagher,25,England,Atlético Madrid,"CM, CAM, LM",81,85,35500000,70000,75.0,76.0,80.0,78.0,79.0,84.0,182,77,Right
Mikel Merino,Mikel Merino Zazón,29,Spain,Arsenal,"CM, ST",83,83,35500000,160000,63.0,79.0,80.0,80.0,81.0,80.0,189,83,Left
E. Fernández,Enzo Jeremías Fernández,24,Argentina,Chelsea,"CM, CDM, CAM",84,87,57000000,140000,68.0,75.0,85.0,81.0,73.0,75.0,178,76,Right
Fred,Frederico Rodrigues de Paula Santos,32,Brazil,Fenerbahçe SK,"CM, CDM, CAM",80,80,16500000,60000,77.0,71.0,78.0,82.0,76.0,75.0,169,62,Left
D. Alaba,David Olatukunbo Alaba,33,Austria,Real Madrid,"CB, LB, LM",82,82,14500000,185000,68.0,71.0,82.0,79.0,82.0,75.0,180,78,Left
I. Bennacer,Ismaël Bennacerاسماعيل بن ناصر,27,Algeria,Dinamo Zagreb,"CDM, CM",80,82,23000000,25000,76.0,72.0,80.0,83.0,76.0,74.0,175,70,Left
B. Yılmaz,Barış Alper Yılmaz,25,Türkiye,Galatasaray SK,"LM, RM, LW",80,83,28000000,55000,93.0,77.0,72.0,79.0,69.0,90.0,186,80,Right
Pedro Porro,Pedro Antonio Porro Sauceda,25,Spain,Tottenham Hotspur,"RB, RM",82,85,37000000,105000,78.0,73.0,81.0,80.0,77.0,76.0,173,69,Right
K. Mbappé,Kylian Mbappé Lottin,26,France,Real Madrid,"ST, LW, LM",91,94,173500000,610000,97.0,90.0,81.0,92.0,37.0,76.0,182,75,Right
M. Ødegaard,Martin Ødegaard,26,Norway,Arsenal,"CM, CAM",87,89,98000000,220000,68.0,79.0,88.0,87.0,67.0,65.0,178,68,Left
Otávio,Otávio Edmilson da Silva Monteiro,30,Portugal,Al Qadsiah FC,"CAM, CM, RM",82,82,29500000,54000,78.0,71.0,82.0,85.0,70.0,75.0,171,67,Right
O. Kökçü,Orkun Kökçü,24,Türkiye,Beşiktaş JK,"CM, CAM, CDM",82,86,43500000,25000,72.0,80.0,84.0,80.0,70.0,79.0,175,72,Right
M. Acuña,Marcos Javier Acuña,33,Argentina,River Plate,"LB, LM",78,78,7500000,22000,76.0,69.0,77.0,81.0,71.0,80.0,172,69,Left
S. McTominay,Scott Francis McTominay,28,Scotland,Napoli,"CM, CAM, LM",85,85,54000000,150000,76.0,82.0,77.0,80.0,80.0,85.0,193,88,Right
H. Kane,Harry Edward Kane,31,England,FC Bayern München,ST,89,89,87000000,155000,64.0,92.0,83.0,82.0,48.0,82.0,188,86,Right
E. Camavinga,Eduardo Celmi Camavinga,22,France,Real Madrid,"CM, CDM, LB",83,90,73500000,175000,80.0,68.0,81.0,84.0,78.0,80.0,185,77,Left
Rúben Neves,Rúben Diogo da Silva Neves,28,Portugal,Al Hilal,"CDM, CM",84,85,40500000,68000,57.0,75.0,87.0,77.0,77.0,76.0,180,83,Right
F. Nmecha,Felix Kalu Nmecha,24,Germany,Borussia Dortmund,"CDM, CM",82,86,40000000,50000,82.0,74.0,73.0,81.0,80.0,86.0,194,80,Right
Carlos Augusto,Carlos Augusto Zopalato Neves,26,Brazil,Inter,"LB, CB, LM",81,82,27500000,38000,78.0,72.0,77.0,79.0,79.0,76.0,184,75,Left
J. McGinn,John McGinn,30,Scotland,Aston Villa,"LM, RM, CAM, LB",81,81,25000000,120000,69.0,77.0,78.0,80.0,77.0,83.0,178,68,Left
Berenguer,Alejandro Berenguer Remiro,29,Spain,Athletic Club,"LM, RM, CAM, LW",82,82,30000000,59000,84.0,77.0,79.0,84.0,65.0,69.0,175,73,Right
E. Can,Emre Can,31,Germany,Borussia Dortmund,"CB, CDM, CM",82,82,21000000,60000,77.0,76.0,72.0,74.0,82.0,84.0,186,86,Right
L. Pellegrini,Lorenzo Pellegrini,29,Italy,Roma,"CAM, CM",80,80,20500000,63000,75.0,77.0,80.0,80.0,73.0,73.0,186,77,Right
Pedro Gonçalves,Pedro António Pereira Gonçalves,27,Portugal,Sporting CP,"CAM, LM, CM",83,83,38500000,32000,77.0,82.0,83.0,84.0,63.0,68.0,173,78,Right
Joelinton,Joelinton Cassio Apolinário de Lira,28,Brazil,Newcastle United,"CM, LW, LM",82,82,30500000,140000,74.0,73.0,77.0,81.0,82.0,90.0,186,81,Right
Nuno Mendes,Nuno Alexandre Tavares Mendes,23,Portugal,Paris Saint-Germain,"LB, LM",86,89,86000000,110000,95.0,65.0,76.0,82.0,80.0,77.0,180,70,Left
R. Lewandowski,Robert Lewandowski,36,Poland,FC Barcelona,ST,88,88,31000000,155000,74.0,89.0,79.0,85.0,44.0,84.0,185,81,Right
K. Thuram,Khéphren Thuram-Ulien,24,France,Juventus,"CM, CDM",81,85,36500000,105000,78.0,76.0,77.0,80.0,81.0,81.0,192,80,Right
I. Perišić,Ivan Perišić,36,Croatia,PSV,"RW, LW, RM",81,81,8500000,25000,75.0,80.0,81.0,79.0,69.0,75.0,186,80,Right
B. Mbeumo,Bryan Tetsadong Marceau Mbeumo,25,Cameroon,Manchester United,"RW, RM, ST",85,86,64500000,135000,88.0,84.0,79.0,84.0,49.0,76.0,171,75,Left
Y. Tielemans,Youri Tielemans,28,Belgium,Aston Villa,"CM, CDM, CAM",85,85,54000000,170000,54.0,79.0,85.0,80.0,75.0,72.0,176,72,Right
J. Tavernier,James Henry Tavernier,33,England,Rangers FC,"RB, RM",77,77,5500000,52000,80.0,71.0,78.0,75.0,69.0,79.0,182,75,Right
J. Musiala,Jamal Musiala,22,Germany,FC Bayern München,"CAM, LM, CM, ST",88,92,133500000,110000,80.0,82.0,80.0,90.0,66.0,65.0,184,72,Right
Marc Cucurella,Marc Cucurella Saseta,26,Spain,Chelsea,LB,84,85,45500000,155000,75.0,64.0,79.0,80.0,82.0,79.0,174,66,Left
L. Torreira,Lucas Sebastián Torreira di Pascua,29,Uruguay,Galatasaray SK,"CDM, CM",83,83,31000000,73000,76.0,72.0,78.0,79.0,81.0,79.0,166,60,Right
M. Lemina,Mario René Junior Lemina,31,Gabon,Galatasaray SK,"CDM, CM",79,79,12500000,55000,79.0,67.0,75.0,76.0,78.0,83.0,184,85,Right
L. Modrić,Luka Modrić,39,Croatia,AC Milan,"CM, CAM, CDM",83,83,11500000,47000,68.0,74.0,86.0,86.0,70.0,62.0,172,67,Right
F. Kessié,Franck Yannick Kessié,28,Côte d'Ivoire,Al Ahli SFC,"CDM, CM, CB",80,81,20500000,49000,78.0,77.0,73.0,78.0,78.0,86.0,183,74,Right
G. Lo Celso,Giovani Lo Celso,29,Argentina,Real Betis Balompié,"CAM, CM, CDM",82,82,30000000,43000,68.0,81.0,82.0,84.0,68.0,71.0,177,68,Left
F. Aursnes,Fredrik Aursnes,29,Norway,SL Benfica,"CM, RB, RM, CAM",80,80,20500000,26000,74.0,71.0,78.0,80.0,77.0,82.0,179,71,Right
D. Kulusevski,Dejan KulusevskiДејан Кулушевски,25,Sweden,Tottenham Hotspur,"CM, RW, CAM",83,86,47500000,125000,74.0,79.0,84.0,85.0,62.0,81.0,186,80,Left
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,30,Portugal,Manchester City,"CM, RM, CDM, CAM",84,84,40500000,165000,61.0,78.0,83.0,89.0,71.0,65.0,173,65,Left
F. Wirtz,Florian Richard Wirtz,22,Germany,Liverpool,"CAM, ST, CM",89,93,150500000,190000,80.0,82.0,88.0,90.0,54.0,67.0,177,71,Right
W. McKennie,Weston James Earl McKennie,26,United States,Juventus,"CM, CDM, CAM",78,79,16500000,95000,77.0,71.0,77.0,77.0,80.0,80.0,180,86,Right
R. Loftus-Cheek,Ruben Ira Loftus-Cheek,29,England,AC Milan,"CM, CAM",80,80,20500000,55000,81.0,76.0,79.0,80.0,76.0,80.0,191,88,Right
Sergi Darder,Sergi Darder Moll,31,Spain,RCD Mallorca,"LM, CM, CDM, LW",81,81,21500000,43000,77.0,76.0,81.0,80.0,73.0,77.0,180,71,Right
C. Tolisso,Corentin Tolisso,30,France,Olympique Lyonnais,"CM, CDM, CAM",81,81,24500000,30000,68.0,78.0,78.0,76.0,77.0,79.0,181,81,Right
M. Brozović,Marcelo Brozović,32,Croatia,Al Nassr,"CDM, CM",81,81,17000000,52000,63.0,73.0,78.0,79.0,78.0,80.0,181,72,Right
M. De Cuyper,Maxim De Cuyper,24,Belgium,Brighton & Hove Albion,"LB, RB, LM",80,86,31000000,78000,76.0,73.0,80.0,79.0,75.0,75.0,183,72,Left
Q. Timber,Quinten Ryan Crispito Timber,24,Netherlands,Feyenoord,"CM, CDM, CAM",80,85,31500000,19000,77.0,78.0,76.0,80.0,74.0,83.0,179,71,Right
C. McGregor,Callum William McGregor,32,Scotland,Celtic,"CDM, CM",79,79,11500000,61000,77.0,76.0,78.0,80.0,72.0,78.0,178,74,Left
Douglas Luiz,Douglas Luiz Soares de Paulo,27,Brazil,Nottingham Forest,"CM, CDM",80,80,22500000,110000,67.0,75.0,82.0,80.0,75.0,70.0,175,66,Right
Ayoze,Ayoze Pérez Gutiérrez,31,Spain,Villarreal CF,"ST, CAM",83,83,30500000,65000,86.0,83.0,80.0,83.0,59.0,67.0,178,66,Right
A. Davies,Alphonso Boyle Davies,24,Canada,FC Bayern München,"LB, LM",84,87,53500000,74000,94.0,66.0,78.0,85.0,74.0,76.0,185,77,Left
D. Frattesi,Davide Frattesi,25,Italy,Inter,CM,81,83,32000000,38000,82.0,77.0,78.0,82.0,73.0,72.0,178,74,Right
Nuno Santos,Nuno Miguel Gomes dos Santos,30,Portugal,Sporting CP,"LM, LB, LW",79,79,17000000,24000,79.0,81.0,76.0,79.0,69.0,73.0,177,71,Left
M. Guendouzi,Mattéo Elias Kenzo Guendouzi Olié,26,France,Lazio,"CDM, CM",82,85,36000000,44000,72.0,73.0,80.0,80.0,77.0,77.0,185,68,Right
M. Caicedo,Moisés Isaac Caicedo Corozo,23,Ecuador,Chelsea,"CDM, CM",87,89,93000000,170000,71.0,64.0,78.0,81.0,84.0,82.0,178,73,Right
J. Gvardiol,Joško Gvardiol,23,Croatia,Manchester City,"LB, CB, LM",84,87,53500000,130000,78.0,71.0,75.0,78.0,84.0,82.0,185,80,Left
A. Zambo Anguissa,André-Frank Zambo Anguissa,29,Cameroon,Napoli,"CM, CAM",82,82,29500000,115000,75.0,75.0,75.0,79.0,79.0,85.0,184,83,Right
K. Trippier,Kieran John Trippier,34,England,Newcastle United,"RB, RM",80,80,7500000,115000,66.0,65.0,83.0,77.0,80.0,71.0,173,71,Right
Lucas Paquetá,Lucas Tolentino Coelho de Lima,27,Brazil,West Ham United,"CM, LM, CAM",80,80,22500000,75000,68.0,78.0,78.0,84.0,69.0,75.0,180,72,Left
Gabriel Sara,Gabriel Davi Gomes Sara,26,Brazil,Galatasaray SK,"CM, CAM, RM",80,83,27500000,58000,74.0,74.0,83.0,79.0,68.0,78.0,177,79,Left
M. Hjulmand,Morten Blom Due Hjulmand,26,Denmark,Sporting CP,"CDM, CM",83,86,43000000,30000,70.0,76.0,78.0,77.0,80.0,84.0,185,78,Right
M. Arambarri,Mauro Wilney Arambarri Rosa,29,Uruguay,Getafe CF,"CM, CDM",80,80,20500000,43000,65.0,79.0,76.0,77.0,79.0,79.0,175,74,Right
D. Maeda,Daizen Maeda前田 大然,27,Japan,Celtic,"LW, ST, RW, LM",79,79,18500000,65000,92.0,79.0,70.0,76.0,65.0,79.0,173,68,Right
E. Haaland,Erling Braut Håland,24,Norway,Manchester City,ST,90,92,157000000,260000,86.0,91.0,70.0,80.0,45.0,88.0,195,94,Left
B. Pavard,Benjamin Pavard,29,France,Olympique de Marseille,CB,84,84,35500000,51000,75.0,67.0,76.0,75.0,86.0,79.0,186,81,Right
E. Anderson,Elliot Junior Anderson,22,England,Nottingham Forest,"CDM, CM",80,85,29500000,78000,71.0,68.0,79.0,81.0,77.0,78.0,179,69,Right
G. Wijnaldum,Georginio Gregion Emile Wijnaldum,34,Netherlands,Al Ettifaq,"CAM, ST, CM",78,78,6500000,35000,67.0,72.0,77.0,80.0,76.0,75.0,175,74,Right
Marcos Alonso,Marcos Alonso Mendoza,34,Spain,RC Celta,"CB, LB",79,79,5500000,33000,57.0,74.0,80.0,74.0,80.0,77.0,188,81,Left
Aleix García,Aleix García Serrano,28,Spain,Bayer 04 Leverkusen,"CM, CDM",83,83,36500000,100000,65.0,75.0,85.0,84.0,75.0,66.0,173,68,Right
Álex Baena,Alejandro Baena Rodríguez,23,Spain,Atlético Madrid,"LM, ST, LW",84,89,63500000,82000,79.0,76.0,84.0,82.0,65.0,68.0,174,70,Right
M. Tillman,Malik Leon Tillman,23,United States,Bayer 04 Leverkusen,"CAM, LW, CM",82,87,46000000,80000,84.0,76.0,77.0,83.0,65.0,77.0,187,71,Right
E. Palacios,Exequiel Alejandro Palacios,26,Argentina,Bayer 04 Leverkusen,"CM, CDM",84,86,52000000,110000,62.0,76.0,80.0,82.0,81.0,71.0,178,69,Right
R. Zalazar,Rodrigo Zalazar Martínez,25,Uruguay,Sporting Clube de Braga,"CAM, CM, LM",79,82,23000000,18000,80.0,81.0,79.0,78.0,67.0,74.0,178,70,Right
Carvajal,Daniel Carvajal Ramos,33,Spain,Real Madrid,"RB, RM",85,85,28000000,240000,80.0,58.0,79.0,81.0,81.0,79.0,173,73,Right
Koke,Jorge Resurrección Merodio,33,Spain,Atlético Madrid,"CM, CDM",81,81,16000000,76000,61.0,72.0,83.0,78.0,76.0,77.0,176,75,Right
L. Ferguson,Lewis Ferguson,25,Scotland,Bologna,"CM, CDM, CAM",78,81,18500000,46000,72.0,78.0,74.0,78.0,72.0,75.0,181,75,Right
R. Ríos,Richard Rios Montoya,25,Colombia,SL Benfica,"CM, CDM",79,83,24500000,22000,81.0,70.0,77.0,82.0,72.0,82.0,187,77,Right
G. Di Lorenzo,Giovanni Di Lorenzo,31,Italy,Napoli,"RB, CB, RM",83,83,26500000,120000,84.0,72.0,73.0,77.0,79.0,80.0,183,82,Right
C. Palmer,Cole Jermaine Palmer,23,England,Chelsea,"CAM, RM, ST",87,90,109000000,185000,75.0,83.0,87.0,87.0,50.0,65.0,185,76,Left
Y. Herrera,Yangel Clemente Herrera Ravelo,27,Venezuela,Real Sociedad,"CM, CDM, CAM",81,82,29500000,49000,65.0,76.0,77.0,79.0,80.0,81.0,184,78,Right
Miguel Gutiérrez,Miguel Gutiérrez Ortega,23,Spain,Napoli,"LB, LM",81,85,34500000,84000,81.0,71.0,79.0,81.0,76.0,73.0,180,73,Left
Angeliño,José Ángel Esmoris Tasende,28,Spain,Roma,"LB, LM",79,79,16000000,56000,69.0,70.0,81.0,80.0,74.0,69.0,171,69,Left
Éderson,Éderson José dos Santos Lourenço da Silva,25,Brazil,Atalanta,CM,82,85,40000000,77000,78.0,72.0,77.0,80.0,80.0,81.0,182,86,Right
M. Arnold,Maximilian Arnold,31,Germany,VfL Wolfsburg,"CDM, CM",79,79,12500000,51000,64.0,80.0,79.0,76.0,75.0,75.0,184,74,Left
M. Gibbs-White,Morgan Anthony Gibbs-White,25,England,Nottingham Forest,"CAM, ST",82,84,38000000,105000,75.0,77.0,82.0,84.0,60.0,72.0,179,66,Right
M. Locatelli,Manuel Locatelli,27,Italy,Juventus,"CDM, CM",84,85,43000000,150000,63.0,69.0,80.0,76.0,81.0,78.0,185,75,Right
D. Dumfries,Denzel Justus Morris Dumfries,29,Netherlands,Inter,"RB, RM",84,84,37000000,51000,84.0,70.0,75.0,79.0,79.0,84.0,188,80,Right
L. Digne,Lucas Digne,31,France,Aston Villa,"LB, LM",80,80,15500000,110000,69.0,68.0,79.0,76.0,77.0,74.0,178,74,Left
R. Andrich,Robert Andrich,30,Germany,Bayer 04 Leverkusen,"CDM, CM, CB",81,81,21500000,83000,57.0,77.0,76.0,73.0,83.0,81.0,186,85,Right
A. Tchouaméni,Aurélien Djani Tchouameni,25,France,Real Madrid,"CDM, CM, CB",84,87,50500000,200000,71.0,69.0,79.0,78.0,81.0,82.0,187,81,Right
S. Guirassy,Serhou Yadaly Guirassy,29,Guinea,Borussia Dortmund,ST,87,87,79500000,105000,72.0,88.0,76.0,83.0,45.0,83.0,187,82,Right
L. Provod,Lukáš Provod,28,Czechia,SK Slavia Praha,"CAM, CM, LM",78,78,14000000,33000,76.0,75.0,78.0,78.0,64.0,82.0,191,85,Left
M. Zaccagni,Mattia Zaccagni,30,Italy,Lazio,"LM, LW",84,84,40500000,58000,88.0,78.0,77.0,87.0,57.0,66.0,177,63,Right
M. de Roon,Marten Elco de Roon,34,Netherlands,Atalanta,"CM, CDM",81,81,12000000,78000,61.0,74.0,77.0,76.0,83.0,80.0,186,76,Right
R. Skov,Robert Faxe Skov,29,Denmark,1. FC Union Berlin,"LB, RB, RM, LM",74,74,3700000,28000,75.0,77.0,77.0,75.0,67.0,69.0,185,81,Left
Brais Méndez,Brais Méndez Portela,28,Spain,Real Sociedad,"CM, RM, CAM",81,81,25500000,51000,70.0,80.0,82.0,81.0,65.0,73.0,187,76,Left
R. Gosens,Robin Everardus Gosens,30,Germany,Fiorentina,"LB, LM",80,80,18000000,56000,72.0,74.0,73.0,76.0,77.0,77.0,183,76,Left
Fabián Ruiz,Fabián Ruiz Peña,29,Spain,Paris Saint-Germain,"CM, CDM",85,85,52500000,130000,61.0,77.0,80.0,81.0,75.0,72.0,189,70,Left
G. Hamer,Gustavo Martin Emilio Hamer,28,Netherlands,Sheffield United,"LM, CM, LW",77,77,10500000,57000,70.0,72.0,79.0,76.0,72.0,76.0,169,61,Right
J. Maddison,James Daniel Maddison,28,England,Tottenham Hotspur,"CM, CAM",84,84,42000000,145000,67.0,81.0,86.0,85.0,58.0,64.0,175,73,Right
P. Groß,Pascal Groß,34,Germany,Borussia Dortmund,"CDM, CM",80,80,7000000,52000,48.0,75.0,84.0,79.0,72.0,76.0,181,78,Right
Yuri Berchiche,Yuri Berchiche Izeta,35,Spain,Athletic Club,"LB, LM",79,79,5500000,34000,79.0,68.0,74.0,75.0,77.0,82.0,181,80,Left
R. Guerreiro,Raphaël Adelino José Guerreiro,31,Portugal,FC Bayern München,"LB, CM, RB, LM",80,80,15500000,65000,69.0,78.0,85.0,88.0,74.0,54.0,170,71,Left
K. Laimer,Konrad Laimer,28,Austria,FC Bayern München,"RB, CDM, CM, RM",82,82,27500000,75000,82.0,69.0,76.0,75.0,81.0,76.0,180,72,Right
Jordi Alba,Jordi Alba Ramos,36,Spain,Inter Miami,LB,78,78,3100000,8000,82.0,69.0,78.0,80.0,70.0,68.0,170,68,Left
D. Olaru,Darius Dumitru Olaru,27,Romania,FCSB,"CM, CAM",73,73,3200000,7000,81.0,75.0,73.0,75.0,66.0,80.0,177,71,Right
M. Rogers,Morgan Elliot Rogers,22,England,Aston Villa,"CAM, RM, LM, CM",82,86,44500000,110000,77.0,77.0,79.0,84.0,67.0,79.0,188,80,Right
Y. Carrasco,Yannick Ferreira Carrasco,31,Belgium,Al Shabab,"LW, LM",81,81,21500000,46000,87.0,80.0,77.0,85.0,58.0,67.0,181,73,Right
D. Doué,Désiré Doué,20,France,Paris Saint-Germain,"RW, LW, CM, RM",85,91,83500000,100000,83.0,80.0,77.0,90.0,55.0,74.0,181,79,Right
M. Thuram,Marcus Lilian Thuram-Ulien,27,France,Inter,ST,85,85,58500000,61000,86.0,83.0,76.0,82.0,50.0,80.0,192,80,Right
D. Raum,David Raum,27,Germany,RB Leipzig,"LB, LM",82,83,32000000,65000,86.0,61.0,80.0,79.0,74.0,78.0,181,83,Left
V. Gyökeres,Viktor Einar Gyökeres,27,Sweden,Arsenal,ST,87,88,93000000,240000,90.0,86.0,73.0,81.0,36.0,91.0,189,94,Right
G. Sudakov,Georgiy SudakovСудаков Георгій Вікторович,22,Ukraine,SL Benfica,"CAM, CM, CDM",80,87,43000000,25000,81.0,77.0,78.0,81.0,60.0,72.0,177,68,Right
